ID,Lng,Lat,angle,highway
1923.0,153.0618492811,-27.4594914173,280.37352386219465,tertiary
1924.0,153.061407465,-27.4594192709,280.37352386219465,tertiary
1925.0,153.060965649,-27.4593471245,280.37352386219465,tertiary
1926.0,153.0605219769,-27.4592848588,278.651422589159,tertiary
1927.0,153.0600779298,-27.4592245889,278.651422589159,tertiary
1928.0,153.0596338828,-27.459164319,278.651422589159,tertiary
1929.0,153.0591898358,-27.4591040491,278.651422589159,tertiary
1930.0,153.0587457888,-27.4590437791,278.651422589159,tertiary
1931.0,153.0583024568,-27.4589795282,278.831542391245,tertiary
1932.0,153.0578586243,-27.4589180132,278.831542391245,tertiary
1933.0,153.05741479190002,-27.458856498200003,278.831542391245,tertiary
1934.0,153.0569710588,-27.458794435999998,279.5685198540963,tertiary
1935.0,153.0565281501,-27.4587278335,279.5685198540963,tertiary
1936.0,153.0560852413,-27.458661231,279.5685198540963,tertiary
1937.0,153.05564137620001,-27.4585999554,278.62869080003225,tertiary
1938.0,153.0551973024,-27.4585398423,278.62869080003225,tertiary
1939.0,153.0314329,-27.4466551,26.06493242252823,motorway
1940.0,153.0316559261,-27.4463081727,35.27857433892072,motorway
1941.0,153.03194061879998,-27.4459986455,41.68824357656343,motorway
1942.0,153.0315267,-27.4466646,205.2507347363837,motorway
1943.0,153.0346288,-27.4623166,299.9812271842569,residential
1944.0,153.0501098,-27.4590572,270.88859315467204,residential
1945.0,153.0496606964,-27.4590509863,270.88859315467204,residential
1946.0,153.0492163738,-27.4590196339,293.83944014606567,residential
1947.0,153.0488055375,-27.4588576927,293.83944014606567,residential
1948.0,153.0483705264,-27.458908448699997,255.18875088188653,residential
1949.0,153.0479362705,-27.459010795300003,256.5559558353434,residential
1950.0,153.0480413,-27.4567876,128.03158960808608,residential
1951.0,153.0483596294,-27.4570679646,147.57046660087397,residential
1952.0,153.0486755058,-27.4573506615,133.08769546797922,residential
1953.0,153.0490947053,-27.4573937888,85.94574894055914,residential
1954.0,153.049505925,-27.457258590100004,49.239679063794824,residential
1955.0,153.0497980876,-27.456969135999998,6.381066378384256,residential
1956.0,153.0328384,-27.4455613,245.03719411642032,motorway
1957.0,153.03244,-27.4457452,235.61230122740025,motorway
1958.0,153.0487981,-27.457425,225.09558566561387,residential
1959.0,153.04845703729998,-27.457657686100003,187.65219925048083,residential
